au_id,ARTICLES,DURATION,ARTIPERYEAR,DEGREE-I,DEGREE-O,CLOSS-I,CLOSS-O,BETT,HITS-HUB,HITS-AUT,SH-EFF,SH-ES,SH-CONSTR,SH-HIERARCHY
375,4,5,0.8,0.005,0.012,0.046,0.017,0.005,0.005,0.002,0.958,8.625,0.186,0.381
382,4,5,0.8,0.003,0.007,0.04,0.008,0.002,0.001,0.002,1,6,0.167,0
385,2,1,2,0.002,0,0.04,0,0,0.032,0,1,1,1,1
389,2,1,2,0.002,0,0.02,0,0,0.001,0,1,1,1,1
395,2,1,2,0.002,0,0.002,0,0,0.013,0,1,1,1,1
397,2,1,2,0.002,0,0.002,0,0,0.034,0,1,1,1,1
404,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
411,2,1,2,0.002,0,0.026,0,0,0,0,1,1,1,1
412,4,6,0.667,0.002,0.002,0.002,0.002,0,0,0.004,1,2,0.5,0
428,2,1,2,0.002,0,0.027,0,0,0,0,1,1,1,1
429,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
431,2,1,2,0.002,0,0.018,0,0,0,0,1,1,1,1
437,2,1,2,0.002,0,0.002,0,0,0.001,0,1,1,1,1
438,2,1,2,0.002,0,0.019,0,0,0,0,1,1,1,1
439,2,1,2,0.002,0,0.003,0,0,0,0,1,1,1,1
442,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
443,2,1,2,0,0.003,0,0.067,0,0,0,1,2,0.5,0
447,2,1,2,0,0.002,0,0.002,0,0,0.001,1,1,1,1
448,4,9,0.444,0.005,0.005,0.005,0.008,0,0.001,0,1,5,0.222,0.139
450,2,1,2,0.002,0,0.002,0,0,0.008,0,1,1,1,1
458,2,1,2,0,0.002,0,0.002,0,0,0,1,1,1,1
462,2,1,2,0.002,0,0.002,0,0,0.003,0,1,1,1,1
463,2,1,2,0.002,0,0.039,0,0,0,0,1,1,1,1
464,2,1,2,0.002,0,0.027,0,0,0,0,1,1,1,1
465,2,1,2,0.002,0,0.005,0,0,0,0,1,1,1,1
470,2,1,2,0.002,0,0.011,0,0,0,0,1,1,1,1
472,2,1,2,0.002,0,0.02,0,0,0.001,0,1,1,1,1
473,4,3,1.333,0.002,0.002,0.023,0.002,0,0,0,1,2,0.5,0
474,2,1,2,0.002,0,0.004,0,0,0.004,0,1,1,1,1
475,2,1,2,0,0.002,0,0.022,0,0,0.004,1,1,1,1
486,2,10,0.2,0.003,0,0.02,0,0,0,0,1,2,0.5,0
488,4,6,0.667,0.002,0.002,0.036,0.002,0,0,0.002,1,1,1,1
500,2,1,2,0.002,0,0.02,0,0,0.008,0,1,1,1,1
501,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
503,2,1,2,0,0.002,0,0.012,0,0,0.012,1,1,1,1
507,2,3,0.667,0.003,0,0.037,0,0,0.003,0,0.5,1,0.991,0.044
508,2,2,1,0.002,0,0.027,0,0,0.016,0,1,1,1,1
513,2,1,2,0.002,0,0.002,0,0,0.002,0,1,1,1,1
518,2,1,2,0,0.002,0,0.002,0,0,0,1,1,1,1
521,2,1,2,0.002,0,0.016,0,0,0,0,1,1,1,1
523,4,5,0.8,0.003,0.003,0.004,0.013,0,0,0,1,2,0.5,0
529,2,1,2,0.002,0,0.019,0,0,0.004,0,1,1,1,1
530,2,1,2,0.002,0,0.003,0,0,0,0,1,1,1,1
534,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
538,4,2,2,0.002,0.008,0.002,0.045,0,0,0,1,5,0.222,0.139
539,4,3,1.333,0.003,0.005,0.006,0.074,0,0.068,0.038,0.625,2.5,0.528,0.054
541,4,3,1.333,0.002,0.005,0.004,0.074,0,0.008,0.051,0.667,2,0.593,0.122
542,4,17,0.235,0.002,0.003,0.002,0.058,0.001,0,0.155,1,3,0.333,0
543,2,1,2,0.003,0,0.019,0,0,0.005,0,1,2,0.5,0
545,2,4,0.5,0.002,0,0.002,0,0,0.008,0,1,1,1,1
546,2,3,0.667,0,0.003,0,0.013,0,0,0,1,2,0.556,0.278
547,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
548,4,2,2,0.002,0.002,0.02,0.002,0,0.001,0,1,2,0.5,0
550,4,2,2,0.003,0,0.02,0,0,0,0,0.625,1.25,0.871,0.062
551,4,10,0.4,0.002,0.002,0.021,0.006,0,0,0.015,1,1,1,1
556,2,1,2,0.002,0,0.02,0,0,0,0,1,1,1,1
557,2,1,2,0.002,0,0.04,0,0,0.032,0,1,1,1,1
558,4,13,0.308,0.002,0.007,0.002,0.007,0,0,0.001,0.92,4.6,0.281,0.04
560,2,1,2,0,0.005,0,0.047,0,0,0.024,1,3,0.333,0
568,4,1,4,0.002,0.002,0.026,0.003,0.001,0.003,0,1,2,0.5,0
581,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
582,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
585,4,10,0.4,0.007,0,0.01,0,0,0.008,0,0.861,3.444,0.405,0.418
586,2,1,2,0.002,0,0.02,0,0,0,0,1,1,1,1
588,2,1,2,0,0.002,0,0.011,0,0,0,1,1,1,1
595,2,1,2,0.002,0,0.016,0,0,0.021,0,1,1,1,1
603,4,2,2,0.002,0.002,0.003,0.002,0,0,0,1,2,0.5,0
604,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
